pkey,NobatAmargiri,F2Kol_DJAYGOZIN,F2_D01,F2_D03,F2_D04,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW_Yearly,ActivityStatus
0200100166,3,2,02,2,2,28,74,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,99.2280816354076,3
0200100166,4,2,01,1,1,22,80,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,106.517079967551,3
0200100166,4,2,02,2,2,28,74,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,106.517079967551,3
0200100167,3,2,01,1,1,65,37,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,52,25,04,5,1,15,00,17,00,6,060,6,060, ,10,10,10,10,10,10,00,060, , ,2, , ,2, , ,6,060,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,166.181233448805,1
0200100167,3,2,02,2,2,62,39,1,1,2, , ,  , ,2,1,6,06,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,166.181233448805,3
0200100167,3,2,03,3,2,93,08,1,1,2, , ,  , ,1,1,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.181233448805,
0200100167,4,2,01,1,1,65,37,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,52,43,04,4,1,15,08,17,08,6,054,6,054, ,09,09,09,09,09,09,00,54 , , ,2, , ,2, , ,6,048,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , , ,   , , , ,163.723358289812,1
0200100167,4,2,02,2,2,62,40,1,1,2, , ,  , ,2,1,6,06,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,2,   , , , ,163.723358289812,3
0200100167,4,2,03,3,2,93,09,1,1,2, , ,  , ,1,1,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.723358289812,
0200100168,3,2,01,1,1,50,52,1,1,2, , ,  , ,2,1,4,07,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,166.181233448805,3
0200100168,3,2,02,2,2,56,46,1,1,2, , ,  , ,2,1,2,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,166.181233448805,3
0200100168,3,2,03,3,2,88,13,1,1,2, , ,  , ,1,1,2,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,166.181233448805,3
0200100168,4,2,01,1,1,50,52,1,1,2, , ,  , ,2,1,4,07,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,3,   , , , ,163.723358289812,3
0200100168,4,2,02,2,2,56,46,1,1,2, , ,  , ,2,1,2,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,2,   , , , ,163.723358289812,3
0200100168,4,2,03,3,2,88,14,1,1,2, , ,  , ,1,1,2,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,1,   , , , ,163.723358289812,3
0200100169,3,2,01,1,1,20,82,1,1,2, , ,  , ,2,1,2,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,106.517079967551,3
0200100169,3,2,02,2,2,23,78,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,106.517079967551,3
0200100169,4,2,01,1,1,20,82,1,1,2, , ,  , ,2,1,2,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,3,   , , , ,104.330113147959,3
0200100169,4,2,02,2,2,23,78,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,2,   , , , ,104.330113147959,3
0200100172,3,2,01,1,1,59,43,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,74,43,02,1,2,18,08,23,08,7,063,7,063, ,09,09,09,09,09,09,09,63 , , ,2, , ,2, , ,7,063,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , , ,   , , , ,179.668394749242,1
0200100172,3,2,02,2,2,68,34,1,1,2, , ,  , ,2,1,6,05,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,2,   , , , ,179.668394749242,3
0200100172,3,2,03,3,2,93,08,1,1,2, , ,  , ,1,1,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.668394749242,
0200100172,3,2,04,3,2,00,01,1,1,2, , ,  , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.668394749242,
0200100172,4,2,01,1,1,59,43,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,74,43,02,1,2,20,10,20,10,6,054,6,054, ,09,09,09,09,09,09,00,054, , ,2, , ,2, , ,6,048,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,179.022829962193,1
0200100172,4,2,02,2,2,68,34,1,1,2, , ,  , ,2,1,6,04,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,179.022829962193,3
0200100172,4,2,03,3,2,93,09,1,1,2, , ,  , ,1,1,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.022829962193,
0200100172,4,2,04,3,2,00,02,1,1,2, , ,  , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.022829962193,
0200100173,2,2,01,1,1,52,50,1,1,2, , ,  , ,2,1,6,07,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,168.575661852594,3
0200100173,2,2,02,2,2,61,40,1,1,2, , ,  , ,2,1,4,05,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,168.575661852594,3
0200100173,2,2,03,3,2,86,15,1,1,2, , ,  , ,1,1,3,05,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,168.575661852594,3
0200100173,2,2,04,3,2,91,10,1,1,2, , ,  , ,1,1,1,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,168.575661852594,3
0200100173,3,2,01,1,1,52,50,1,1,2, , ,  , ,2,1,6,07,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,168.517327331616,3
0200100173,3,2,02,2,2,61,41,1,1,2, , ,  , ,2,1,4,05,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,168.517327331616,3
0200100173,3,2,03,3,2,86,16,1,1,2, , ,  , ,1,1,3,05,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,168.517327331616,3
0200100173,3,2,04,3,2,91,11,1,1,2, , ,  , ,1,1,1,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,168.517327331616,3
0200100174,2,2,01,1,1,36,65,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,109.502096293957,3
0200100174,2,2,02,2,2,38,63,1,1,2, , ,  , ,2,2, ,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,109.502096293957,3
0200100174,3,2,01,1,1,36,66,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,108.504814453187,3
0200100174,3,2,02,2,2,38,64,1,1,2, , ,  , ,2,2, ,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,108.504814453187,3
0200100175,2,2,01,1,1,56,45,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,72,29,04,5,1,25,00,25,00,6,048,6,048, ,08,08,08,08,08,08,00,048, , ,2, , ,2, , ,6,070,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,161.472013021529,1
0200100175,2,2,02,2,2,64,37,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,161.472013021529,3
0200100175,2,2,03,3,1,90,11,1,1,2, , ,  , ,1,1,1,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,161.472013021529,3
0200100175,3,2,01,1,1,56,45,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,26,29,04,5,1,20,08,22,08,6,054,6,054, ,09,09,09,09,09,09,00,054, , ,2, , ,2, , ,6,054,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,159.523825186662,1
0200100175,3,2,02,2,2,64,38,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,159.523825186662,3
0200100175,3,2,03,3,1,90,12,1,1,2, , ,  , ,1,1,1,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,159.523825186662,3
0200100176,1,2,01,1,1,21,81,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,08, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,5,   , , , ,101.452926515125,3
0200100176,1,2,02,2,2,28,73,1,1,2, , ,  , ,2,2, ,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,101.452926515125,3
0200100176,2,2,01,1,1,21,81,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,106.517079967551,3
0200100176,2,2,02,2,2,29,73,1,1,2, , ,  , ,2,2, ,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,106.517079967551,3
0200100177,1,2,01,1,2,47,54,1,1,2, , ,  , ,2,1,4,02,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,141.297928069054,3
0200100177,2,2,01,1,2,47,54,1,1,2, , ,  , ,2,1,4,03,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,142.815232736301,3
0200100177,2,2,02,7,2,47,54,1,1,2, , ,  , ,2,1,4,02,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,142.815232736301,3
